tool,operation,pattern,status,file formats,website_url,github_repo,notes,vendor_group,vendor_libs
aac to wav,convert,"x to y, convert x to y",onsite-unverified,".aac,.wav",,,,,
aac to wma,convert,"x to y, convert x to y",onsite-unverified,".aac,.wma",,,,,
ai to bmp,convert,ai-to-bmp,in-progress,".ai,.bmp",,,,,
ai to cur,convert,ai-to-cur,in-progress,".ai,.cur",,,,,
ai to dds,convert,ai-to-dds,in-progress,".ai,.dds",,,,,
ai to gif,convert,ai-to-gif,onsite-verified,".ai,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ai to ico,convert,ai-to-ico,in-progress,".ai,.ico",,,,,
ai to jpeg,convert,ai-to-jpeg,onsite-verified,".ai,.jpeg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ai to jpg,convert,ai-to-jpg,onsite-verified,".ai,.jpg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ai to png,convert,"x to y, convert x to y",onsite-verified,".ai,.png",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ai to svg,convert,"x to y, convert x to y",onsite-verified,".ai,.svg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ai to tga,convert,ai-to-tga,in-progress,".ai,.tga",,,,,
ai to tif,convert,ai-to-tif,in-progress,".ai,.tif",,,,,
ai to tiff,convert,ai-to-tiff,onsite-verified,".ai,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ai to webp,convert,ai-to-webp,in-progress,".ai,.webp",,,,,
aif to aac,convert,"x to y, convert x to y",onsite-unverified,".aif,.aac",,,,,
aif to aiff,convert,"x to y, convert x to y",onsite-unverified,".aif,.aiff",,,,,
aif to alac,convert,"x to y, convert x to y",onsite-unverified,".aif,.alac",,,,,
aif to amr,convert,"x to y, convert x to y",onsite-unverified,".aif,.amr",,,,,
aif to au,convert,"x to y, convert x to y",onsite-unverified,".aif,.au",,,,,
aif to caf,convert,"x to y, convert x to y",onsite-unverified,".aif,.caf",,,,,
aif to cdda,convert,"x to y, convert x to y",onsite-unverified,".aif,.cdda",,,,,
aif to flac,convert,"x to y, convert x to y",onsite-unverified,".aif,.flac",,,,,
aif to m4a,convert,"x to y, convert x to y",onsite-unverified,".aif,.m4a",,,,,
aif to m4r,convert,"x to y, convert x to y",onsite-unverified,".aif,.m4r",,,,,
aif to mp2,convert,"x to y, convert x to y",onsite-unverified,".aif,.mp2",,,,,
aif to mp3,convert,"x to y, convert x to y",onsite-unverified,".aif,.mp3",,,,,
aif to oga,convert,"x to y, convert x to y",onsite-unverified,".aif,.oga",,,,,
aif to ogg,convert,"x to y, convert x to y",onsite-unverified,".aif,.ogg",,,,,
aif to opus,convert,"x to y, convert x to y",onsite-unverified,".aif,.opus",,,,,
aif to wav,convert,"x to y, convert x to y",onsite-unverified,".aif,.wav",,,,,
aif to wma,convert,"x to y, convert x to y",onsite-unverified,".aif,.wma",,,,,
aifc to mp3,convert,"x to y, convert x to y",onsite-unverified,".aifc,.mp3",,,,,
aiff to aac,convert,"x to y, convert x to y",onsite-unverified,".aiff,.aac",,,,,
aiff to alac,convert,"x to y, convert x to y",onsite-unverified,".aiff,.alac",,,,,
aiff to amr,convert,"x to y, convert x to y",onsite-unverified,".aiff,.amr",,,,,
aiff to au,convert,"x to y, convert x to y",onsite-unverified,".aiff,.au",,,,,
aiff to caf,convert,"x to y, convert x to y",onsite-unverified,".aiff,.caf",,,,,
aiff to cdda,convert,"x to y, convert x to y",onsite-unverified,".aiff,.cdda",,,,,
aiff to flac,convert,"x to y, convert x to y",onsite-unverified,".aiff,.flac",,,,,
aiff to m4a,convert,"x to y, convert x to y",onsite-unverified,".aiff,.m4a",,,,,
aiff to m4r,convert,"x to y, convert x to y",onsite-unverified,".aiff,.m4r",,,,,
aiff to mp2,convert,"x to y, convert x to y",onsite-unverified,".aiff,.mp2",,,,,
aiff to mp3,convert,"x to y, convert x to y",onsite-unverified,".aiff,.mp3",,,,,
aiff to oga,convert,"x to y, convert x to y",onsite-unverified,".aiff,.oga",,,,,
aiff to ogg,convert,"x to y, convert x to y",onsite-unverified,".aiff,.ogg",,,,,
aiff to opus,convert,"x to y, convert x to y",onsite-unverified,".aiff,.opus",,,,,
aiff to wav,convert,"x to y, convert x to y",onsite-unverified,".aiff,.wav",,,,,
aiff to wma,convert,"x to y, convert x to y",onsite-unverified,".aiff,.wma",,,,,
alac to aac,convert,"x to y, convert x to y",onsite-unverified,".alac,.aac",,,,,
alac to aiff,convert,"x to y, convert x to y",onsite-unverified,".alac,.aiff",,,,,
alac to amr,convert,"x to y, convert x to y",onsite-unverified,".alac,.amr",,,,,
alac to au,convert,"x to y, convert x to y",onsite-unverified,".alac,.au",,,,,
alac to caf,convert,"x to y, convert x to y",onsite-unverified,".alac,.caf",,,,,
alac to cdda,convert,"x to y, convert x to y",onsite-unverified,".alac,.cdda",,,,,
alac to flac,convert,"x to y, convert x to y",onsite-unverified,".alac,.flac",,,,,
alac to m4a,convert,"x to y, convert x to y",onsite-unverified,".alac,.m4a",,,,,
alac to m4r,convert,"x to y, convert x to y",onsite-unverified,".alac,.m4r",,,,,
alac to mp2,convert,"x to y, convert x to y",onsite-unverified,".alac,.mp2",,,,,
alac to mp3,convert,"x to y, convert x to y",onsite-unverified,".alac,.mp3",,,,,
alac to oga,convert,"x to y, convert x to y",onsite-unverified,".alac,.oga",,,,,
alac to ogg,convert,"x to y, convert x to y",onsite-unverified,".alac,.ogg",,,,,
alac to opus,convert,"x to y, convert x to y",onsite-unverified,".alac,.opus",,,,,
alac to wav,convert,"x to y, convert x to y",onsite-unverified,".alac,.wav",,,,,
alac to wma,convert,"x to y, convert x to y",onsite-unverified,".alac,.wma",,,,,
amr to aac,convert,"x to y, convert x to y",onsite-unverified,".amr,.aac",,,,,
amr to aiff,convert,"x to y, convert x to y",onsite-unverified,".amr,.aiff",,,,,
amr to alac,convert,"x to y, convert x to y",onsite-unverified,".amr,.alac",,,,,
amr to au,convert,"x to y, convert x to y",onsite-unverified,".amr,.au",,,,,
amr to caf,convert,"x to y, convert x to y",onsite-unverified,".amr,.caf",,,,,
amr to cdda,convert,"x to y, convert x to y",onsite-unverified,".amr,.cdda",,,,,
amr to flac,convert,"x to y, convert x to y",onsite-unverified,".amr,.flac",,,,,
amr to m4a,convert,"x to y, convert x to y",onsite-unverified,".amr,.m4a",,,,,
amr to m4r,convert,"x to y, convert x to y",onsite-unverified,".amr,.m4r",,,,,
amr to mp2,convert,"x to y, convert x to y",in-progress,".amr,.mp2",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
amr to mp3,convert,"x to y, convert x to y",onsite-unverified,".amr,.mp3",,,,,
amr to oga,convert,"x to y, convert x to y",in-progress,".amr,.oga",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
amr to ogg,convert,"x to y, convert x to y",in-progress,".amr,.ogg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
amr to opus,convert,"x to y, convert x to y",onsite-unverified,".amr,.opus",,,,,
amr to wav,convert,"x to y, convert x to y",onsite-unverified,".amr,.wav",,,,,
amr to wma,convert,"x to y, convert x to y",onsite-unverified,".amr,.wma",,,,,
apng to gif,convert,apng-to-gif,onsite-verified,".apng,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
arw to avif,convert,"x to y, convert x to y",onsite-unverified,".arw,.avif",,,,,
arw to bmp,convert,arw-to-bmp,onsite-verified,".arw,.bmp",,,,,
arw to dds,convert,"x to y, convert x to y",onsite-unverified,".arw,.dds",,,,,
arw to gif,convert,arw-to-gif,onsite-verified,".arw,.gif",,,,,
arw to jpeg,convert,arw-to-jpeg,onsite-verified,".arw,.jpeg",,,,,
arw to jpg,convert,"x to y, convert x to y",onsite-unverified,".arw,.jpg",,,,,
arw to pdf,convert,"x to y, convert x to y",onsite-unverified,".arw,.pdf",,,,,
arw to png,convert,arw-to-png,onsite-verified,".arw,.png",,,,,
arw to svg,convert,"x to y, convert x to y",onsite-unverified,".arw,.svg",,,,,
arw to tga,convert,"x to y, convert x to y",onsite-unverified,".arw,.tga",,,,,
arw to tif,convert,arw-to-tif,onsite-verified,".arw,.tif",,,,,
