tool,operation,pattern,status,file formats,website_url,github_repo,notes,vendor_group,vendor_libs
divx to m4v,convert,"x to y, convert x to y",onsite-unverified,".divx,.m4v",,,,,
divx to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".divx,.mjpeg",,,,,
divx to mkv,convert,"x to y, convert x to y",onsite-unverified,".divx,.mkv",,,,,
divx to mov,convert,"x to y, convert x to y",onsite-unverified,".divx,.mov",,,,,
divx to mp2,convert,"x to y, convert x to y",onsite-verified,".divx,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to mp3,convert,"x to y, convert x to y",onsite-verified,".divx,.mp3",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to mp4,convert,"x to y, convert x to y",onsite-unverified,".divx,.mp4",,,,,
divx to mpeg,convert,"x to y, convert x to y",onsite-unverified,".divx,.mpeg",,,,,
divx to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".divx,.mpeg2",,,,,
divx to mpg,convert,"x to y, convert x to y",onsite-unverified,".divx,.mpg",,,,,
divx to mts,convert,"x to y, convert x to y",onsite-unverified,".divx,.mts",,,,,
divx to mxf,convert,"x to y, convert x to y",onsite-unverified,".divx,.mxf",,,,,
divx to oga,convert,"x to y, convert x to y",onsite-verified,".divx,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to ogg,convert,"x to y, convert x to y",onsite-verified,".divx,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to opus,convert,"x to y, convert x to y",onsite-verified,".divx,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to rm,convert,"x to y, convert x to y",onsite-unverified,".divx,.rm",,,,,
divx to rmvb,convert,"x to y, convert x to y",onsite-unverified,".divx,.rmvb",,,,,
divx to ts,convert,"x to y, convert x to y",onsite-unverified,".divx,.ts",,,,,
divx to vob,convert,"x to y, convert x to y",onsite-unverified,".divx,.vob",,,,,
divx to wav,convert,"x to y, convert x to y",onsite-verified,".divx,.wav",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to webm,convert,"x to y, convert x to y",onsite-unverified,".divx,.webm",,,,,
divx to wma,convert,"x to y, convert x to y",onsite-verified,".divx,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
dng to gif,convert,dng-to-gif,onsite-verified,".dng,.gif",,,,,
dng to jpeg,convert,dng-to-jpeg,onsite-verified,".dng,.jpeg",,,,,
dng to jpg,convert,"x to y, convert x to y",onsite-unverified,,,,,,
dng to pdf,convert,"x to y, convert x to y",onsite-unverified,".dng,.pdf",,,,,
dng to png,convert,dng-to-png,onsite-verified,".dng,.png",,,,,
dng to svg,convert,"x to y, convert x to y",onsite-unverified,".dng,.svg",,,,,
dng to tga,convert,"x to y, convert x to y",onsite-unverified,".dng,.tga",,,,,
dng to tif,convert,dng-to-tif,onsite-verified,".dng,.tif",,,,,
dng to tiff,convert,dng-to-tiff,onsite-verified,".dng,.tiff",,,,,
dng to webp,convert,dng-to-webp,onsite-verified,".dng,.webp",,,,,
doc to jpg,convert,doc-to-jpg,in-progress,".doc,.jpg",,,Needs registry entry; engine: doc-convert. Needs fixture for input format. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
docx to jpg,convert,docx-to-jpg,in-progress,".docx,.jpg",,,Needs registry entry; engine: doc-convert. Needs fixture for input format. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
docx to png,convert,docx-to-png,in-progress,".docx,.png",,,Needs registry entry; engine: doc-convert. Needs fixture for input format. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
dss to mp3,convert,"x to y, convert x to y",onsite-unverified,".dss,.mp3",,,,,
dv to mp4,convert,"x to y, convert x to y",onsite-unverified,".dv,.mp4",,,,,
dxf to svg,convert,dxf-to-svg,in-progress,".dxf,.svg",,,Needs registry entry; engine: dxf-vector. Needs fixture for input format. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
eps to eps,convert,eps-to-eps,in-progress,".eps,.eps",,,,,
eps to gif,convert,eps-to-gif,in-progress,".eps,.gif",,,,,
eps to ico,convert,eps-to-ico,in-progress,".eps,.ico",,,,needs-new-engine,not supported by current canvas/magick paths
eps to jpeg,convert,eps-to-jpeg,in-progress,".eps,.jpeg",,,,needs-new-engine,not supported by current canvas/magick paths
eps to jpg,convert,eps-to-jpg,in-progress,".eps,.jpg",,,,needs-new-engine,not supported by current canvas/magick paths
eps to png,convert,eps-to-png,in-progress,".eps,.png",,,,needs-new-engine,not supported by current canvas/magick paths
eps to svg,convert,eps-to-svg,in-progress,".eps,.svg",,,,needs-new-engine,not supported by current canvas/magick paths
eps to tga,convert,eps-to-tga,in-progress,".eps,.tga",,,,,
eps to tif,convert,eps-to-tif,in-progress,".eps,.tif",,,,,
eps to tiff,convert,eps-to-tiff,in-progress,".eps,.tiff",,,,needs-new-engine,not supported by current canvas/magick paths
eps to webp,convert,eps-to-webp,in-progress,".eps,.webp",,,,needs-new-engine,not supported by current canvas/magick paths
f4v to 3gp,convert,"x to y, convert x to y",onsite-unverified,".f4v,.3gp",,,,,
f4v to aac,convert,"x to y, convert x to y",onsite-verified,".f4v,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to aiff,convert,"x to y, convert x to y",onsite-verified,".f4v,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to alac,convert,"x to y, convert x to y",onsite-verified,".f4v,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to amr,convert,"x to y, convert x to y",onsite-verified,".f4v,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to asf,convert,"x to y, convert x to y",onsite-unverified,".f4v,.asf",,,,,
f4v to au,convert,"x to y, convert x to y",onsite-verified,".f4v,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to av1,convert,"x to y, convert x to y",onsite-unverified,".f4v,.av1",,,,,
f4v to avchd,convert,"x to y, convert x to y",onsite-unverified,".f4v,.avchd",,,,,
f4v to avi,convert,"x to y, convert x to y",onsite-unverified,".f4v,.avi",,,,,
f4v to caf,convert,"x to y, convert x to y",onsite-verified,".f4v,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to cdda,convert,"x to y, convert x to y",onsite-verified,".f4v,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to divx,convert,"x to y, convert x to y",onsite-unverified,".f4v,.divx",,,,,
f4v to flac,convert,"x to y, convert x to y",onsite-verified,".f4v,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to flv,convert,"x to y, convert x to y",onsite-unverified,".f4v,.flv",,,,,
f4v to gif,convert,"x to y, convert x to y",onsite-unverified,".f4v,.gif",,,,,
f4v to hevc,convert,"x to y, convert x to y",onsite-unverified,".f4v,.hevc",,,,,
f4v to m2ts,convert,"x to y, convert x to y",onsite-unverified,".f4v,.m2ts",,,,,
f4v to m4a,convert,"x to y, convert x to y",onsite-verified,".f4v,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to m4r,convert,"x to y, convert x to y",onsite-verified,".f4v,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to m4v,convert,"x to y, convert x to y",onsite-unverified,".f4v,.m4v",,,,,
f4v to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mjpeg",,,,,
f4v to mkv,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mkv",,,,,
f4v to mov,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mov",,,,,
f4v to mp2,convert,"x to y, convert x to y",onsite-verified,".f4v,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to mp3,convert,"x to y, convert x to y",onsite-verified,".f4v,.mp3",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to mp4,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mp4",,,,,
f4v to mpeg,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mpeg",,,,,
f4v to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mpeg2",,,,,
f4v to mpg,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mpg",,,,,
f4v to mts,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mts",,,,,
f4v to mxf,convert,"x to y, convert x to y",onsite-unverified,".f4v,.mxf",,,,,
f4v to oga,convert,"x to y, convert x to y",onsite-verified,".f4v,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to ogg,convert,"x to y, convert x to y",onsite-verified,".f4v,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to opus,convert,"x to y, convert x to y",onsite-verified,".f4v,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to rm,convert,"x to y, convert x to y",onsite-unverified,".f4v,.rm",,,,,
f4v to rmvb,convert,"x to y, convert x to y",onsite-unverified,".f4v,.rmvb",,,,,
f4v to ts,convert,"x to y, convert x to y",onsite-unverified,".f4v,.ts",,,,,
f4v to vob,convert,"x to y, convert x to y",onsite-unverified,".f4v,.vob",,,,,
f4v to wav,convert,"x to y, convert x to y",onsite-verified,".f4v,.wav",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
f4v to webm,convert,"x to y, convert x to y",onsite-unverified,".f4v,.webm",,,,,
f4v to wma,convert,"x to y, convert x to y",onsite-verified,".f4v,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flac to aac,convert,"x to y, convert x to y",onsite-unverified,".flac,.aac",,,,,
flac to aiff,convert,"x to y, convert x to y",onsite-unverified,".flac,.aiff",,,,,
flac to alac,convert,"x to y, convert x to y",onsite-verified,".flac,.alac",,,,,
flac to amr,convert,"x to y, convert x to y",onsite-unverified,".flac,.amr",,,,,
flac to au,convert,"x to y, convert x to y",onsite-unverified,".flac,.au",,,,,
flac to caf,convert,"x to y, convert x to y",onsite-unverified,".flac,.caf",,,,,
flac to cdda,convert,"x to y, convert x to y",onsite-unverified,".flac,.cdda",,,,,
flac to m4a,convert,"x to y, convert x to y",onsite-unverified,".flac,.m4a",,,,,
flac to m4r,convert,"x to y, convert x to y",onsite-unverified,".flac,.m4r",,,,,
flac to mp2,convert,"x to y, convert x to y",onsite-unverified,".flac,.mp2",,,,,
flac to mp3,convert,"x to y, convert x to y",onsite-unverified,".flac,.mp3",,,,,
flac to oga,convert,"x to y, convert x to y",onsite-unverified,".flac,.oga",,,,,
flac to ogg,convert,"x to y, convert x to y",onsite-unverified,".flac,.ogg",,,,,
flac to opus,convert,"x to y, convert x to y",onsite-unverified,".flac,.opus",,,,,
flac to wav,convert,"x to y, convert x to y",onsite-unverified,".flac,.wav",,,,,
flac to wma,convert,"x to y, convert x to y",onsite-unverified,".flac,.wma",,,,,
flv to 3gp,convert,"x to y, convert x to y",onsite-unverified,".flv,.3gp",,,,,
flv to aac,convert,"x to y, convert x to y",onsite-verified,".flv,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to aiff,convert,"x to y, convert x to y",onsite-verified,".flv,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to alac,convert,"x to y, convert x to y",onsite-verified,".flv,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to amr,convert,"x to y, convert x to y",onsite-verified,".flv,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to asf,convert,"x to y, convert x to y",onsite-unverified,".flv,.asf",,,,,
flv to au,convert,"x to y, convert x to y",onsite-verified,".flv,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to av1,convert,"x to y, convert x to y",onsite-unverified,".flv,.av1",,,,,
flv to avchd,convert,"x to y, convert x to y",onsite-unverified,".flv,.avchd",,,,,
flv to avi,convert,"x to y, convert x to y",onsite-unverified,".flv,.avi",,,,,
flv to caf,convert,"x to y, convert x to y",onsite-verified,".flv,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to cdda,convert,"x to y, convert x to y",onsite-verified,".flv,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to divx,convert,"x to y, convert x to y",onsite-unverified,".flv,.divx",,,,,
flv to f4v,convert,"x to y, convert x to y",onsite-unverified,".flv,.f4v",,,,,
flv to flac,convert,"x to y, convert x to y",onsite-verified,".flv,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to gif,convert,"x to y, convert x to y",onsite-unverified,".flv,.gif",,,,,
flv to hevc,convert,"x to y, convert x to y",onsite-unverified,".flv,.hevc",,,,,
flv to m2ts,convert,"x to y, convert x to y",onsite-unverified,".flv,.m2ts",,,,,
flv to m4a,convert,"x to y, convert x to y",onsite-verified,".flv,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to m4r,convert,"x to y, convert x to y",onsite-verified,".flv,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to m4v,convert,"x to y, convert x to y",onsite-unverified,".flv,.m4v",,,,,
flv to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".flv,.mjpeg",,,,,
flv to mkv,convert,"x to y, convert x to y",onsite-unverified,".flv,.mkv",,,,,
flv to mov,convert,"x to y, convert x to y",onsite-unverified,".flv,.mov",,,,,
flv to mp2,convert,"x to y, convert x to y",onsite-verified,".flv,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to mp3,convert,"x to y, convert x to y",onsite-unverified,".flv,.mp3",,,,,
flv to mp4,convert,"x to y, convert x to y",onsite-unverified,".flv,.mp4",,,,,
flv to mpeg,convert,"x to y, convert x to y",onsite-unverified,".flv,.mpeg",,,,,
flv to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".flv,.mpeg2",,,,,
flv to mpg,convert,"x to y, convert x to y",onsite-unverified,".flv,.mpg",,,,,
flv to mts,convert,"x to y, convert x to y",onsite-unverified,".flv,.mts",,,,,
flv to mxf,convert,"x to y, convert x to y",onsite-unverified,".flv,.mxf",,,,,
flv to oga,convert,"x to y, convert x to y",onsite-verified,".flv,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to ogg,convert,"x to y, convert x to y",onsite-verified,".flv,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to opus,convert,"x to y, convert x to y",onsite-verified,".flv,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to rm,convert,"x to y, convert x to y",onsite-unverified,".flv,.rm",,,,,
flv to rmvb,convert,"x to y, convert x to y",onsite-unverified,".flv,.rmvb",,,,,
flv to swf,convert,"x to y, convert x to y",onsite-unverified,".flv,.swf",,,,,
flv to ts,convert,"x to y, convert x to y",onsite-unverified,".flv,.ts",,,,,
flv to vob,convert,"x to y, convert x to y",onsite-unverified,".flv,.vob",,,,,
flv to wav,convert,"x to y, convert x to y",onsite-verified,".flv,.wav",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to webm,convert,"x to y, convert x to y",onsite-unverified,".flv,.webm",,,,,
flv to wma,convert,"x to y, convert x to y",onsite-verified,".flv,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
flv to wmv,convert,"x to y, convert x to y",onsite-unverified,".flv,.wmv",,,,,
gif to avi,convert,"x to y, convert x to y",onsite-unverified,".gif,.avi",,,,,
gif to avif,convert,"x to y, convert x to y",onsite-verified,".gif,.avif",,,,canvas-only,none (browser canvas)
gif to bmp,convert,gif-to-bmp,onsite-verified,".gif,.bmp",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
gif to cur,convert,gif-to-cur,onsite-verified,".gif,.cur",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
gif to gif,convert,gif-to-gif,onsite-verified,".gif,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
gif to ico,convert,gif-to-ico,onsite-verified,".gif,.ico",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
gif to jpeg,convert,gif-to-jpeg,onsite-verified,".gif,.jpeg",,,,canvas-only,none (browser canvas)
gif to jpg,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
gif to mkv,convert,"x to y, convert x to y",onsite-unverified,".gif,.mkv",,,,,
gif to mov,convert,"x to y, convert x to y",onsite-unverified,".gif,.mov",,,,,
gif to mp4,convert,"x to y, convert x to y",onsite-unverified,".gif,.mp4",,,,,
gif to png,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
gif to svg,convert,"x to y, convert x to y",onsite-verified,".gif,.svg",,,,canvas-only,none (browser canvas)
gif to swf,convert,"x to y, convert x to y",onsite-unverified,".gif,.swf",,,,,
gif to tga,convert,gif-to-tga,onsite-verified,".gif,.tga",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
gif to tif,convert,gif-to-tif,onsite-verified,".gif,.tif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
gif to tiff,convert,gif-to-tiff,onsite-verified,".gif,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
gif to webm,convert,"x to y, convert x to y",onsite-unverified,".gif,.webm",,,,,
gif to webp,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
gif to wmv,convert,"x to y, convert x to y",onsite-unverified,".gif,.wmv",,,,,
gsm to mp3,convert,"x to y, convert x to y",onsite-unverified,".gsm,.mp3",,,,,
heic to jpeg,convert,"x to y, convert x to y",onsite-unverified,,,,,,
heic to jpg,convert,"x to y, convert x to y",onsite-unverified,,,,,,
heic to pdf,convert,"x to y, convert x to y",onsite-unverified,,,,,,
heic to png,convert,"x to y, convert x to y",onsite-unverified,,,,,,
heic to svg,convert,"x to y, convert x to y",onsite-unverified,".heic,.svg",,,,,
heic to webp,convert,"x to y, convert x to y",onsite-unverified,".heic,.webp",,,,,
heif to jpg,convert,"x to y, convert x to y",onsite-unverified,,,,,,
heif to pdf,convert,"x to y, convert x to y",onsite-unverified,,,,,,
heif to png,convert,"x to y, convert x to y",onsite-unverified,,,,,,
heif to webp,convert,"x to y, convert x to y",onsite-unverified,".heif,.webp",,,,,
hevc to 3gp,convert,"x to y, convert x to y",onsite-unverified,".hevc,.3gp",,,,,
hevc to aac,convert,"x to y, convert x to y",in-progress,".hevc,.aac",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to aiff,convert,"x to y, convert x to y",in-progress,".hevc,.aiff",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to alac,convert,"x to y, convert x to y",in-progress,".hevc,.alac",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to amr,convert,"x to y, convert x to y",in-progress,".hevc,.amr",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to asf,convert,"x to y, convert x to y",onsite-unverified,".hevc,.asf",,,,,
hevc to au,convert,"x to y, convert x to y",in-progress,".hevc,.au",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to av1,convert,"x to y, convert x to y",onsite-unverified,".hevc,.av1",,,,,
hevc to avchd,convert,"x to y, convert x to y",onsite-unverified,".hevc,.avchd",,,,,
hevc to avi,convert,"x to y, convert x to y",onsite-unverified,".hevc,.avi",,,,,
hevc to caf,convert,"x to y, convert x to y",in-progress,".hevc,.caf",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to cdda,convert,"x to y, convert x to y",in-progress,".hevc,.cdda",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to divx,convert,"x to y, convert x to y",onsite-unverified,".hevc,.divx",,,,,
hevc to f4v,convert,"x to y, convert x to y",onsite-unverified,".hevc,.f4v",,,,,
hevc to flac,convert,"x to y, convert x to y",in-progress,".hevc,.flac",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to flv,convert,"x to y, convert x to y",onsite-unverified,".hevc,.flv",,,,,
hevc to gif,convert,"x to y, convert x to y",onsite-unverified,".hevc,.gif",,,,,
hevc to m2ts,convert,"x to y, convert x to y",onsite-unverified,".hevc,.m2ts",,,,,
hevc to m4a,convert,"x to y, convert x to y",in-progress,".hevc,.m4a",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to m4r,convert,"x to y, convert x to y",in-progress,".hevc,.m4r",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to m4v,convert,"x to y, convert x to y",onsite-unverified,".hevc,.m4v",,,,,
hevc to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mjpeg",,,,,
hevc to mkv,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mkv",,,,,
hevc to mov,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mov",,,,,
hevc to mp2,convert,"x to y, convert x to y",in-progress,".hevc,.mp2",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to mp3,convert,"x to y, convert x to y",in-progress,".hevc,.mp3",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to mp4,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mp4",,,,,
hevc to mpeg,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mpeg",,,,,
hevc to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mpeg2",,,,,
hevc to mpg,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mpg",,,,,
hevc to mts,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mts",,,,,
hevc to mxf,convert,"x to y, convert x to y",onsite-unverified,".hevc,.mxf",,,,,
hevc to oga,convert,"x to y, convert x to y",in-progress,".hevc,.oga",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to ogg,convert,"x to y, convert x to y",in-progress,".hevc,.ogg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to opus,convert,"x to y, convert x to y",in-progress,".hevc,.opus",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to rm,convert,"x to y, convert x to y",onsite-unverified,".hevc,.rm",,,,,
hevc to rmvb,convert,"x to y, convert x to y",onsite-unverified,".hevc,.rmvb",,,,,
hevc to ts,convert,"x to y, convert x to y",onsite-unverified,".hevc,.ts",,,,,
hevc to vob,convert,"x to y, convert x to y",onsite-unverified,".hevc,.vob",,,,,
hevc to wav,convert,"x to y, convert x to y",in-progress,".hevc,.wav",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
hevc to webm,convert,"x to y, convert x to y",onsite-unverified,".hevc,.webm",,,,,
hevc to wma,convert,"x to y, convert x to y",in-progress,".hevc,.wma",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
html to jpeg,convert,html-to-jpeg,in-progress,".html,.jpeg",,,Needs registry entry; engine: table-convert. Needs fixture for input format. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
html to jpg,convert,html-to-jpg,in-progress,".html,.jpg",,,Needs registry entry; engine: table-convert. Needs fixture for input format. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
html to png,convert,html-to-png,in-progress,".html,.png",,,Needs registry entry; engine: table-convert. Needs fixture for input format. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
ico to ico,convert,ico-to-ico,onsite-verified,".ico,.ico",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ico to jpg,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
ico to png,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
ico to svg,convert,"x to y, convert x to y",onsite-verified,".ico,.svg",,,,canvas-only,none (browser canvas)
ico to tga,convert,ico-to-tga,onsite-verified,".ico,.tga",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ico to tif,convert,ico-to-tif,onsite-verified,".ico,.tif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ico to tiff,convert,ico-to-tiff,onsite-verified,".ico,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
ico to webp,convert,"x to y, convert x to y",onsite-verified,".ico,.webp",,,,canvas-only,none (browser canvas)
jfif to jpeg,convert,"x to y, convert x to y",onsite-unverified,,,,,jpeg-alias,alias: jpeg (jfif/jif/jpe)
jfif to jpg,convert,"x to y, convert x to y",onsite-unverified,,,,,jpeg-alias,alias: jpeg (jfif/jif/jpe)
jfif to pdf,convert,"x to y, convert x to y",onsite-unverified,,,,,,
jfif to png,convert,"x to y, convert x to y",onsite-unverified,,,,,jpeg-alias,alias: jpeg (jfif/jif/jpe)
jfif to svg,convert,"x to y, convert x to y",onsite-unverified,".jfif,.svg",,,,jpeg-alias,alias: jpeg (jfif/jif/jpe)
jfif to webp,convert,"x to y, convert x to y",onsite-unverified,".jfif,.webp",,,,jpeg-alias,alias: jpeg (jfif/jif/jpe)
