tool,operation,pattern,status,file formats,website_url,github_repo
wav to m4r,convert,"x to y, convert x to y",onsite-verified,".wav,.m4r",,
mp4 to av1,convert,"x to y, convert x to y",onsite-verified,".mp4,.av1",,
mp3 to amr,convert,"x to y, convert x to y",onsite-verified,".mp3,.amr",,
mp4 to avchd,convert,"x to y, convert x to y",onsite-verified,".mp4,.avchd",,
mp3 to oga,convert,"x to y, convert x to y",onsite-verified,".mp3,.oga",,
mp3 to caf,convert,"x to y, convert x to y",onsite-verified,".mp3,.caf",,
mp3 to cdda,convert,"x to y, convert x to y",onsite-verified,".mp3,.cdda",,
mp3 to au,convert,"x to y, convert x to y",onsite-verified,".mp3,.au",,
mp4 to amr,convert,"x to y, convert x to y",onsite-verified,".mp4,.amr",,
wav to amr,convert,"x to y, convert x to y",onsite-verified,".wav,.amr",,
png to ico,convert,png-to-ico,in-progress,".png,.ico",,
png to jpeg,convert,png-to-jpeg,onsite-verified,".png,.jpeg",,
webp to jpeg,convert,webp-to-jpeg,onsite-verified,".webp,.jpeg",,
dds to png,convert,dds-to-png,in-progress,".dds,.png",,
word to jpg,convert,word-to-jpg,in-progress,".word,.jpg",,
jpeg to svg,convert,jpeg-to-svg,onsite-verified,".jpeg,.svg",,
png to dds,convert,png-to-dds,in-progress,".png,.dds",,
jpg to jpeg,convert,jpg-to-jpeg,onsite-verified,".jpg,.jpeg",,
svg to dxf,convert,svg-to-dxf,in-progress,".svg,.dxf",,
psd to png,convert,psd-to-png,in-progress,".psd,.png",,
html to png,convert,html-to-png,in-progress,".html,.png",,
jpg to ico,convert,jpg-to-ico,in-progress,".jpg,.ico",,
eps to png,convert,eps-to-png,in-progress,".eps,.png",,
html to jpg,convert,html-to-jpg,in-progress,".html,.jpg",,
psd to jpg,convert,psd-to-jpg,in-progress,".psd,.jpg",,
eps to svg,convert,eps-to-svg,in-progress,".eps,.svg",,
tif to jpg,convert,tif-to-jpg,onsite-verified,".tif,.jpg",,
jpg to text,convert,jpg-to-text,in-progress,".jpg,.text",,
png to dxf,convert,png-to-dxf,in-progress,".png,.dxf",,
png to text,convert,png-to-text,in-progress,".png,.text",,
svg to ico,convert,svg-to-ico,in-progress,".svg,.ico",,
tif to png,convert,tif-to-png,onsite-verified,".tif,.png",,
doc to jpg,convert,doc-to-jpg,in-progress,".doc,.jpg",,
png to bmp,convert,png-to-bmp,in-progress,".png,.bmp",,
jpg to gif,convert,jpg-to-gif,in-progress,".jpg,.gif",,
dxf to svg,convert,dxf-to-svg,in-progress,".dxf,.svg",,
jpeg to ico,convert,jpeg-to-ico,in-progress,".jpeg,.ico",,
png to eps,convert,png-to-eps,in-progress,".png,.eps",,
tga to png,convert,tga-to-png,in-progress,".tga,.png",,
jpg to dxf,convert,jpg-to-dxf,in-progress,".jpg,.dxf",,
word to jpeg,convert,word-to-jpeg,in-progress,".word,.jpeg",,
png to word,convert,png-to-word,in-progress,".png,.word",,
webp to ico,convert,webp-to-ico,in-progress,".webp,.ico",,
avif to gif,convert,avif-to-gif,in-progress,".avif,.gif",,
docx to jpg,convert,docx-to-jpg,in-progress,".docx,.jpg",,
eps to jpg,convert,eps-to-jpg,in-progress,".eps,.jpg",,
jpg to bmp,convert,jpg-to-bmp,in-progress,".jpg,.bmp",,
png to cur,convert,png-to-cur,in-progress,".png,.cur",,
svg to eps,convert,svg-to-eps,in-progress,".svg,.eps",,
ai to jpg,convert,ai-to-jpg,in-progress,".ai,.jpg",,
apng to gif,convert,apng-to-gif,in-progress,".apng,.gif",,
png to tiff,convert,png-to-tiff,in-progress,".png,.tiff",,
svg to jpeg,convert,svg-to-jpeg,onsite-verified,".svg,.jpeg",,
webpage to jpg,convert,webpage-to-jpg,in-progress,".webpage,.jpg",,
jpg to tiff,convert,jpg-to-tiff,in-progress,".jpg,.tiff",,
ppt to jpg,convert,ppt-to-jpg,in-progress,".ppt,.jpg",,
xcf to png,convert,xcf-to-png,in-progress,".xcf,.png",,
docx to png,convert,docx-to-png,in-progress,".docx,.png",,
html to jpeg,convert,html-to-jpeg,in-progress,".html,.jpeg",,
png to tga,convert,png-to-tga,in-progress,".png,.tga",,
bmp to jpeg,convert,bmp-to-jpeg,onsite-verified,".bmp,.jpeg",,
gif to jpeg,convert,gif-to-jpeg,onsite-verified,".gif,.jpeg",,
jpeg to avif,convert,jpeg-to-avif,onsite-verified,".jpeg,.avif",,
tif to webp,convert,tif-to-webp,onsite-verified,".tif,.webp",,
tiff to jpeg,convert,tiff-to-jpeg,onsite-verified,".tiff,.jpeg",,
dng to png,convert,dng-to-png,onsite-verified,".dng,.png",,
cr2 to png,convert,cr2-to-png,onsite-verified,".cr2,.png",,
arw to png,convert,arw-to-png,onsite-verified,".arw,.png",,
cr2 to jpeg,convert,cr2-to-jpeg,onsite-verified,".cr2,.jpeg",,
