tool,kd,sv,gsv,tp,gtp,processed_in,operation,status,engine_group,
svg to ttf,0,80,500,40,60,,convert,,canvas/wasm (image convert),
wps to word,14,80,11000,200,4800,,convert,,unknown/needs review,
xls to jpg,3,80,2700,200,36000,,convert,,canvas/wasm (image convert),
xps to jpg,1,80,23000,80,7200,,convert,,canvas/wasm (image convert),
zip to 7z,1,80,250,40,40,,convert,,zip.js (archive),
zip to tar,0,80,450,50,100,,convert,,zip.js (archive),
3gp to mov,0,70,150,40,40,,convert,,ffmpeg (video/audio),
ai to dxf,0,70,900,100,250,,convert,,unknown/needs review,
avi to wav,0,70,200,50,50,,convert,,ffmpeg (video/audio),
cdr to eps,0,70,2200,40,1500,,convert,,unknown/needs review,
docx to rtf,0,70,450,80,150,,convert,,unknown/needs review,
dot to pdf,0,70,300,20,60,,convert,,pdf toolkit (pdf-lib/ghostscript),
eps to psd,0,70,2200,40,700,,convert,,unknown/needs review,
exr to jpg,1,70,600,30,100,,convert,,canvas/wasm (image convert),
jpeg to avif,2,70,800,250,4500,alias: jpg-to-avif,convert,push,canvas/wasm (image convert),
jpeg to psd,0,70,1100,40,400,,convert,,canvas/wasm (image convert),
jpg to heif,0,70,450,30,30,,convert,,libheif + canvas,
jxl to png,,70,300,,,,convert,,canvas/wasm (image convert),
mod to mov,0,70,150,50,50,,convert,,ffmpeg (video/audio),
mp2 to mp3,0,70,600,100,300,,convert,,ffmpeg (video/audio),
mp4 to mjpeg,0,70,250,70,70,,convert,,ffmpeg (video/audio),
mp4 to wma,0,70,350,50,60,,convert,,ffmpeg (video/audio),
mpeg2 to mp4,4,70,300,4600,18000,,convert,,ffmpeg (video/audio),
opus to m4a,0,70,500,30,40,,convert,,ffmpeg (video/audio),
png to rgb,0,70,250,30,30,,convert,,canvas/wasm (image convert),
ppt to docx,0,70,1000,10,250,,convert,,unknown/needs review,
rgba to rgb,64,70,300,60,100,,convert,,unknown/needs review,
rm to mp4,0,70,150,30,30,,convert,,ffmpeg (video/audio),
tiff to gif,0,70,250,40,40,,convert,,canvas/wasm (image convert),
avi to mpeg,3,60,350,60,60,,convert,,ffmpeg (video/audio),
csv to jpg,0,60,400,10,50,,convert,,canvas/wasm (image convert),
dcm to jpeg,0,60,250,30,40,,convert,,canvas/wasm (image convert),
divx to mp4,0,60,250,30,40,,convert,,ffmpeg (video/audio),
dst to pdf,0,60,300,40,90,,convert,,pdf toolkit (pdf-lib/ghostscript),
flv to mov,1,60,150,40,50,,convert,,ffmpeg (video/audio),
flv to wmv,0,60,150,80,80,,convert,,ffmpeg (video/audio),
gif to bmp,0,60,300,30,30,,convert,,canvas/wasm (image convert),
gif to tga,0,60,200,20,40,,convert,,canvas/wasm (image convert),
heic to svg,0,60,80,20,20,not_in_browser,convert,,libheif + canvas,
html to rtf,0,60,150,60,60,,convert,,unknown/needs review,
html to xls,1,60,300,150,2700,,convert,,unknown/needs review,
jfif to ico,0,60,450,30,30,,convert,,canvas/wasm (image convert),
jpeg to heic,,60,450,,,not_in_browser,convert,,libheif + canvas,
jpeg to jpeg,30,60,2000,12000,507000,,convert,,canvas/wasm (image convert),
mov to mkv,0,60,350,30,60,,convert,,ffmpeg (video/audio),
mp4 to aiff,0,60,150,30,90,,convert,,ffmpeg (video/audio),
mpeg to avi,1,60,200,50,50,,convert,,ffmpeg (video/audio),
mpg to mp3,0,60,800,60,250,,convert,,ffmpeg (video/audio),
odt to jpg,0,60,1100,30,150,,convert,,canvas/wasm (image convert),
ppsx to ppt,0,60,1600,30,1000,,convert,,unknown/needs review,
pptx to jpeg,1,60,600,200,3300,,convert,,canvas/wasm (image convert),
rgb to rgba,67,60,250,6500,39000,,convert,,unknown/needs review,
shn to mp3,0,60,70,40,40,,convert,,ffmpeg (video/audio),
swf to mov,0,60,90,30,30,,convert,,ffmpeg (video/audio),
vob to mkv,0,60,200,30,30,,convert,,ffmpeg (video/audio),
vob to mp3,0,60,200,30,30,,convert,,ffmpeg (video/audio),
ape to mp3,0,50,300,20,30,,convert,,ffmpeg (video/audio),
avif to ico,0,50,500,10,10,,convert,,canvas/wasm (image convert),
doc to tiff,0,50,150,40,200,,convert,,canvas/wasm (image convert),
docx to csv,0,50,300,30,50,,convert,,client transforms (data/text),
docx to mobi,1,50,200,30,50,,convert,,unknown/needs review,
dotx to docx,0,50,250,20,20,,convert,,unknown/needs review,
dst to jpg,0,50,300,70,150,,convert,,canvas/wasm (image convert),
eps to tiff,2,50,150,20,20,,convert,,canvas/wasm (image convert),
gif to heic,0,50,100,10,10,,convert,,libheif + canvas,
html to xlsx,1,50,600,30,100,,convert,,unknown/needs review,
jfif to webp,0,50,1000,20,200,,convert,,canvas/wasm (image convert),
jpg to ppm,0,50,200,20,20,,convert,,canvas/wasm (image convert),
m4a to wma,0,50,150,30,30,,convert,,ffmpeg (video/audio),
m4r to wav,0,50,100,30,30,,convert,,ffmpeg (video/audio),
m4v to avi,0,50,150,40,40,,convert,,ffmpeg (video/audio),
mov to flv,0,50,150,30,50,,convert,,ffmpeg (video/audio),
mp4 to av1,,50,250,,,,convert,push,ffmpeg (video/audio),
nef to tiff,0,50,100,20,20,,convert,,imagemagick/libraw (raw photo),
ogv to mp3,0,50,150,20,20,,convert,,ffmpeg (video/audio),
png to ppm,0,50,250,20,30,,convert,,canvas/wasm (image convert),
ppt to txt,1,50,600,80,600,,convert,,unknown/needs review,
ps to jpg,0,50,500,20,150,,convert,,canvas/wasm (image convert),
psd to eps,0,50,350,30,80,,convert,,unknown/needs review,
wav to wma,0,50,100,20,20,,convert,,ffmpeg (video/audio),
webm to mkv,2,50,200,20,30,,convert,,ffmpeg (video/audio),
wps to doc,22,50,200,90,1000,,convert,,unknown/needs review,
wps to docx,0,50,200,30,40,,convert,,unknown/needs review,
xlsx to docx,0,50,700,30,200,,convert,,unknown/needs review,
xlsx to png,0,50,500,20,20,,convert,,canvas/wasm (image convert),
aaf to mp4,0,40,60,20,20,,convert,,ffmpeg (video/audio),
ai to ai,54,40,150,600,2100,,convert,,unknown/needs review,
aiff to flac,0,40,100,10,10,,convert,,ffmpeg (video/audio),
arw to dng,0,40,300,3500,5700,,convert,,imagemagick/libraw (raw photo),
bmp to dxf,0,40,300,20,20,,convert,,canvas/wasm (image convert),
bmp to tiff,0,40,150,20,20,,convert,,canvas/wasm (image convert),
cr2 to tiff,0,40,100,10,10,,convert,,imagemagick/libraw (raw photo),
doc to mobi,0,40,400,30,100,,convert,,unknown/needs review,
doc to ppt,4,40,1600,600,6900,,convert,,unknown/needs review,
eps to emf,0,40,450,30,100,,convert,,unknown/needs review,
exr to hdr,0,40,450,30,70,,convert,,unknown/needs review,
gsm to mp3,0,40,1300,10,450,,convert,,ffmpeg (video/audio),
hdr to jpg,0,40,700,20,200,,convert,,canvas/wasm (image convert),
jfif to svg,0,40,150,10,10,,convert,,canvas/wasm (image convert),
jpg to cur,0,40,300,10,10,,convert,,canvas/wasm (image convert),
jps to pdf,69,40,200,249000,11240000,,convert,,pdf toolkit (pdf-lib/ghostscript),
mp3 to amr,0,40,500,20,150,,convert,push,ffmpeg (video/audio),
mp3 to mp2,0,40,250,30,60,,convert,,ffmpeg (video/audio),
mp4 to avchd,0,40,100,40,40,,convert,push,ffmpeg (video/audio),
mp4 to mxf,0,40,300,20,20,,convert,,ffmpeg (video/audio),
pcx to png,0,40,100,10,10,,convert,,canvas/wasm (image convert),
pgm to png,0,40,350,20,20,,convert,,canvas/wasm (image convert),
pps to ppt,0,40,500,20,200,,convert,,unknown/needs review,
rar to jar,0,40,250,20,20,,convert,,zip.js (archive),
swf to avi,1,40,150,20,20,,convert,,ffmpeg (video/audio),
tgz to zip,0,40,250,20,50,,convert,,zip.js (archive),
tiff to webp,,40,250,,,,convert,,canvas/wasm (image convert),
vob to avi,1,40,300,70,80,,convert,,ffmpeg (video/audio),
wmv to mpg,0,40,90,10,10,,convert,,ffmpeg (video/audio),
xls to doc,20,40,300,40,4300,,convert,,unknown/needs review,
xls to html,1,40,250,70,600,,convert,,unknown/needs review,
ape to flac,0,30,250,20,30,,convert,,ffmpeg (video/audio),
au to mp3,0,30,80,200,450,,convert,,ffmpeg (video/audio),
avif to tiff,,30,200,,,,convert,,canvas/wasm (image convert),
bmp to gif,0,30,100,10,10,,convert,,canvas/wasm (image convert),
dds to jpeg,1,30,150,10,20,,convert,,canvas/wasm (image convert),
dng to tiff,,30,100,,,,convert,,imagemagick/libraw (raw photo),
doc to rtf,0,30,400,20,400,,convert,,unknown/needs review,
doc to xls,4,30,300,150,6400,,convert,,unknown/needs review,
docx to pptx,0,30,700,20,200,,convert,,unknown/needs review,
docx to xlsx,0,30,500,20,100,,convert,,unknown/needs review,
dot to png,0,30,200,10,10,,convert,,canvas/wasm (image convert),
dst to png,0,30,100,100,100,,convert,,canvas/wasm (image convert),
gif to cur,0,30,100,40,40,,convert,,canvas/wasm (image convert),
gif to tiff,0,30,100,20,20,,convert,,canvas/wasm (image convert),
gif to wmv,0,30,90,20,30,,convert,,ffmpeg (video/audio),
html to psd,0,30,250,10,30,,convert,,unknown/needs review,
html to webp,,30,200,,,,convert,,canvas/wasm (image convert),
jif to jpeg,3,30,250,200,3000,,convert,,canvas/wasm (image convert),
jif to pdf,0,30,2300,10,350,,convert,,pdf toolkit (pdf-lib/ghostscript),
jpeg to tif,0,30,300,20,100,,convert,,canvas/wasm (image convert),
jpg to jfif,0,30,500,10,60,,convert,,canvas/wasm (image convert),
jpg to jxl,,30,90,,,,convert,,canvas/wasm (image convert),
mod to avi,0,30,100,10,10,,convert,,ffmpeg (video/audio),
mov to hevc,0,30,150,10,10,,convert,,ffmpeg (video/audio),
mov to m4v,0,30,80,10,10,,convert,,ffmpeg (video/audio),
mp3 to oga,1,30,150,10,10,,convert,push,ffmpeg (video/audio),
mp4 to ts,1,30,350,20,300,,convert,,ffmpeg (video/audio),
mpg to wmv,,30,50,,,,convert,,ffmpeg (video/audio),
otf to png,0,30,100,20,20,,convert,,canvas/wasm (image convert),
ppt to jpeg,10,30,1700,350,13000,,convert,,canvas/wasm (image convert),
pptx to doc,0,30,250,30,1100,,convert,,unknown/needs review,
ps to png,0,30,400,20,40,,convert,,canvas/wasm (image convert),
rm to mp3,0,30,150,20,20,,convert,,ffmpeg (video/audio),
swf to flv,0,30,50,20,20,,convert,,ffmpeg (video/audio),
tiff to eps,0,30,150,20,20,,convert,,canvas/wasm (image convert),
txt to jpeg,0,30,200,20,70,,convert,,canvas/wasm (image convert),
txt to svg,0,30,200,60,100,,convert,,canvas/wasm (image convert),
vob to mov,0,30,90,40,40,,convert,,ffmpeg (video/audio),
wav to opus,,30,100,,,,convert,,ffmpeg (video/audio),
wma to m4a,0,30,100,20,20,,convert,,ffmpeg (video/audio),
wpg to jpg,0,30,300,20,60,,convert,,canvas/wasm (image convert),
xcf to svg,0,30,150,20,20,,convert,,canvas/wasm (image convert),
xlsx to html,0,30,200,10,20,,convert,,unknown/needs review,
aac to flac,0,20,80,10,10,,convert,,ffmpeg (video/audio),
ai to tiff,,20,90,,,,convert,,canvas/wasm (image convert),
aiff to m4a,,20,40,,,,convert,,ffmpeg (video/audio),
avi to m4v,0,20,60,10,10,,convert,,ffmpeg (video/audio),
avif to bmp,,20,150,,,,convert,,canvas/wasm (image convert),
bin to jpeg,,20,200,,,,convert,,canvas/wasm (image convert),
bmp to dds,0,20,150,10,10,,convert,,canvas/wasm (image convert),
cdr to jpeg,,20,600,,,,convert,,canvas/wasm (image convert),
cr2 to pdf,,20,50,,,,convert,,pdf toolkit (pdf-lib/ghostscript),
dng to heic,,20,80,,,,convert,,libheif + canvas,
doc to csv,0,20,150,70,300,,convert,,client transforms (data/text),
docx to ppt,,20,1300,,,,convert,,unknown/needs review,
dst to svg,,20,20,,,,convert,,canvas/wasm (image convert),
dts to ac3,0,20,200,20,20,,convert,,unknown/needs review,
dv to mp4,0,20,80,10,10,,convert,,ffmpeg (video/audio),
gif to heif,,20,60,,,,convert,,libheif + canvas,
gif to psd,,20,60,,,,convert,,canvas/wasm (image convert),
gif to swf,0,20,150,10,10,,convert,,ffmpeg (video/audio),
heic to psd,,20,100,,,not_in_browser,convert,,libheif + canvas,
jp2 to jpeg,0,20,90,100,350,,convert,,canvas/wasm (image convert),
jpeg to tga,0,20,150,200,250,,convert,,canvas/wasm (image convert),
jpg to plt,0,20,2400,10,1400,,convert,,canvas/wasm (image convert),
jpg to rgb,0,20,200,30,30,,convert,,canvas/wasm (image convert),
ktx to png,0,20,150,10,10,,convert,,canvas/wasm (image convert),
m2v to mp4,0,20,150,10,10,,convert,,ffmpeg (video/audio),
mac to png,,20,30,,,,convert,,canvas/wasm (image convert),
mjpeg to mp4,,20,90,,,,convert,,ffmpeg (video/audio),
mkv to wmv,0,20,90,20,20,,convert,,ffmpeg (video/audio),
mp3 to caf,,20,150,,,,convert,push,ffmpeg (video/audio),
mp3 to cdda,,20,70,,,,convert,push,ffmpeg (video/audio),
mp4 to asf,0,20,100,10,10,,convert,,ffmpeg (video/audio),
mp4 to mts,0,20,150,10,30,,convert,,ffmpeg (video/audio),
pcd to jpg,0,20,80,10,10,,convert,,canvas/wasm (image convert),
pdf to djvu,30,20,400,10,100,,convert,,pdf toolkit (pdf-lib/ghostscript),
ppm to ppm,,20,60,,,,convert,,unknown/needs review,
psd to webp,,20,350,,,,convert,,canvas/wasm (image convert),
raf to jpeg,0,20,200,80,250,,convert,,imagemagick/libraw (raw photo),
tif to tiff,0,20,150,10,10,,convert,,canvas/wasm (image convert),
tif to webp,,20,150,,,,convert,,canvas/wasm (image convert),
tiff to doc,0,20,60,10,350,,convert,,canvas/wasm (image convert),
ts to mkv,0,20,200,10,10,,convert,,ffmpeg (video/audio),
txt to rtf,0,20,80,10,10,,convert,,unknown/needs review,
txt to xls,3,20,200,10,150,,convert,,unknown/needs review,
vob to mpeg,1,20,70,10,10,,convert,,ffmpeg (video/audio),
vob to mpg,0,20,70,40,40,,convert,,ffmpeg (video/audio),
webp to psd,,20,350,,,,convert,,canvas/wasm (image convert),
wma to flac,,20,50,,,,convert,,ffmpeg (video/audio),
wmv to mpeg,1,20,80,20,20,,convert,,ffmpeg (video/audio),
xcf to jpeg,0,20,100,250,700,,convert,,canvas/wasm (image convert),
xls to txt,0,20,150,50,600,,convert,,unknown/needs review,
xlsx to doc,0,20,200,30,800,,convert,,unknown/needs review,
xps to doc,0,20,100,20,700,,convert,,unknown/needs review,
xps to xls,,20,100,,,,convert,,unknown/needs review,
xps to xlsx,,20,80,,,,convert,,unknown/needs review,
zip to tgz,0,20,100,10,20,,convert,,zip.js (archive),
ai to gif,,10,60,,,,convert,,canvas/wasm (image convert),
arw to pdf,,10,50,,,,convert,,pdf toolkit (pdf-lib/ghostscript),
arw to tiff,,10,80,,,,convert,,imagemagick/libraw (raw photo),
avi to flv,0,10,70,10,20,,convert,,ffmpeg (video/audio),
avi to mjpeg,,10,20,,,,convert,,ffmpeg (video/audio),
avi to mpeg2,,10,20,,,,convert,,ffmpeg (video/audio),
avi to vob,0,10,40,10,10,,convert,,ffmpeg (video/audio),
avif to eps,,10,70,,,,convert,,canvas/wasm (image convert),
avif to heic,,10,20,,,,convert,,libheif + canvas,
avif to heif,,10,10,,,,convert,,libheif + canvas,
bmp to eps,,10,30,,,,convert,,canvas/wasm (image convert),
bmp to tga,,10,90,,,,convert,,canvas/wasm (image convert),
bmp to tif,,10,20,,,,convert,,canvas/wasm (image convert),
bmp to webp,,10,60,,,,convert,,canvas/wasm (image convert),
bmp to xbm,,10,40,,,,convert,,canvas/wasm (image convert),
cr2 to dng,0,10,150,3600,5400,,convert,,imagemagick/libraw (raw photo),
cr3 to dng,0,10,60,3600,5700,,convert,,imagemagick/libraw (raw photo),
cr3 to pdf,,10,20,,,,convert,,pdf toolkit (pdf-lib/ghostscript),
cr3 to tiff,,10,60,,,,convert,,imagemagick/libraw (raw photo),
crw to jpg,,10,50,,,,convert,,canvas/wasm (image convert),
cur to gif,,10,20,,,,convert,,canvas/wasm (image convert),
doc to pptx,,10,200,,,,convert,,unknown/needs review,
doc to svg,0,10,50,20,20,,convert,,canvas/wasm (image convert),
doc to xlsx,,10,250,,,,convert,,unknown/needs review,
docx to dotx,,10,30,,,,convert,,unknown/needs review,
docx to svg,,10,70,,,,convert,,canvas/wasm (image convert),
docx to tiff,,10,50,,,,convert,,canvas/wasm (image convert),
dss to mp3,0,10,50,10,40,,convert,,ffmpeg (video/audio),
dst to jpeg,,10,30,,,,convert,,canvas/wasm (image convert),
dxf to ai,0,10,450,10,20,,convert,,unknown/needs review,
eps to ico,,10,40,,,,convert,,canvas/wasm (image convert),
eps to webp,,10,60,,,,convert,,canvas/wasm (image convert),
epub to fb2,,10,700,,,,convert,,unknown/needs review,
exr to jpeg,,10,70,,,,convert,,canvas/wasm (image convert),
flac to wma,,10,60,,,,convert,,ffmpeg (video/audio),
flv to mpeg,1,10,40,0,0,,convert,,ffmpeg (video/audio),
flv to swf,,10,30,,,,convert,,ffmpeg (video/audio),
gif to jxl,,10,10,,,,convert,,canvas/wasm (image convert),
gif to mkv,,10,40,,,,convert,,ffmpeg (video/audio),
gif to tif,,10,10,,,,convert,,canvas/wasm (image convert),
hdr to jpeg,,10,70,,,,convert,,canvas/wasm (image convert),
heic to ico,,10,20,,,not_in_browser,convert,,libheif + canvas,
heic to tif,,10,40,,,not_in_browser,convert,,libheif + canvas,
heif to tiff,,10,10,,,,convert,,libheif + canvas,
heif to webp,,10,30,,,,convert,,libheif + canvas,
icns to svg,,10,50,,,,convert,,canvas/wasm (image convert),
ico to pdf,,10,20,,,,convert,,pdfjs/pdf-lib (pdf <-> images),
ico to tga,,10,40,,,,convert,,canvas/wasm (image convert),
ico to webp,,10,100,,,,convert,,canvas/wasm (image convert),
jpeg to hdr,0,10,150,10,20,,convert,,canvas/wasm (image convert),
jpeg to jxl,,10,10,,,,convert,,canvas/wasm (image convert),
jpeg to ppm,0,10,30,0,0,,convert,,canvas/wasm (image convert),
jpeg to rgb,,10,40,,,,convert,,canvas/wasm (image convert),
jpg to pbm,,10,40,,,,convert,,canvas/wasm (image convert),
jpg to pcx,0,10,70,,,,convert,,canvas/wasm (image convert),
jpg to pgm,0,10,90,0,0,,convert,,canvas/wasm (image convert),
ktx2 to png,,10,90,,,,convert,,canvas/wasm (image convert),
mkv to ts,,10,30,,,,convert,,ffmpeg (video/audio),
mov to mjpeg,,10,20,,,,convert,,ffmpeg (video/audio),
mov to mxf,,10,50,,,,convert,,ffmpeg (video/audio),
mov to vob,,10,10,,,,convert,,ffmpeg (video/audio),
mp3 to au,,10,30,,,,convert,push,ffmpeg (video/audio),
mp4 to amr,,10,100,,,,convert,push,ffmpeg (video/audio),
mp4 to f4v,,10,30,,,,convert,,ffmpeg (video/audio),
mp4 to m2ts,,10,20,,,,convert,,ffmpeg (video/audio),
mp4 to rm,,10,20,,,,convert,,ffmpeg (video/audio),
mp4 to rmvb,0,10,70,10,20,,convert,,ffmpeg (video/audio),
mpeg to wmv,,10,30,,,,convert,,ffmpeg (video/audio),
nef to pdf,,10,70,,,,convert,,pdf toolkit (pdf-lib/ghostscript),
orf to jpeg,,10,30,,,,convert,,imagemagick/libraw (raw photo),
orf to png,,10,70,,,,convert,,imagemagick/libraw (raw photo),
pbm to png,,10,30,,,,convert,,canvas/wasm (image convert),
pcx to jpg,,10,60,,,,convert,,canvas/wasm (image convert),
pdf to ppm,0,10,50,30,,,convert,,pdf toolkit (pdf-lib/ghostscript),
pdf to rgb,,10,50,,,,convert,,pdf toolkit (pdf-lib/ghostscript),
pdf to tga,,10,20,,,,convert,,pdf toolkit (pdf-lib/ghostscript),
pes to jpg,,10,20,,,,convert,,canvas/wasm (image convert),
pes to png,,10,30,,,,convert,,canvas/wasm (image convert),
pes to svg,,10,20,,,,convert,,canvas/wasm (image convert),
png to xbm,,10,90,,,,convert,,canvas/wasm (image convert),
pptx to ppsx,,10,200,,,,convert,,unknown/needs review,
ps to eps,,10,40,,,,convert,,unknown/needs review,
ra to mp3,,10,20,,,,convert,,ffmpeg (video/audio),
rtf to xls,0,10,50,30,50,,convert,,unknown/needs review,
rtf to xlsx,,10,50,,,,convert,,unknown/needs review,
shn to flac,0,10,20,20,20,,convert,,ffmpeg (video/audio),
svg to otf,,10,50,,,,convert,,canvas/wasm (image convert),
svg to tga,,10,20,,,,convert,,canvas/wasm (image convert),
svg to tif,,10,50,,,,convert,,canvas/wasm (image convert),
txt to ppt,,10,150,,,,convert,,unknown/needs review,
wav to amr,,10,20,,,,convert,push,ffmpeg (video/audio),
webp to webp,,10,150,,,,convert,,canvas/wasm (image convert),
wma to aiff,0,10,10,,,,convert,,ffmpeg (video/audio),
wmf to pdf,0,10,100,0,0,,convert,,pdf toolkit (pdf-lib/ghostscript),
wmv to mkv,,10,40,,,,convert,,ffmpeg (video/audio),
wpg to jpeg,,10,20,,,,convert,,canvas/wasm (image convert),
wtv to mp4,,10,10,,,,convert,,ffmpeg (video/audio),
xls to docx,,10,150,,,,convert,,unknown/needs review,
xls to png,,10,200,,,,convert,,canvas/wasm (image convert),
xps to docx,,10,40,,,,convert,,unknown/needs review,
xps to jpeg,1,10,700,80,7200,,convert,,canvas/wasm (image convert),
7z to jar,,,,,,,convert,,,
ac3 to dts,,,10,,,,convert,,,
ai to arw,,,,,,,convert,,,
ai to avif,,,,,,,convert,,,
ai to bmp,,,20,,,,convert,,,
ai to cr2,,,,,,,convert,,,
ai to cr3,,,,,,,convert,,,
ai to cur,,,,,,,convert,,,
ai to dds,,,,,,,convert,,,
ai to dng,,,,,,,convert,,,
ai to fig,,,30,,,,convert,,,
ai to heic,,,,,,,convert,,,
ai to heif,,,,,,,convert,,,
ai to icns,,,,,,,convert,push,,
ai to ico,,,30,,,,convert,,,
ai to jfif,,,,,,,convert,push,,
ai to jif,,,,,,,convert,push,,
ai to jxl,,,,,,,convert,,,
ai to ktx,,,,,,,convert,push,,
ai to ktx2,,,,,,,convert,push,,
ai to nef,,,,,,,convert,push,,
ai to orf,,,,,,,convert,push,,
ai to pam,,,,,,,convert,push,,
ai to pbm,,,,,,,convert,push,,
ai to pcx,,,,,,,convert,push,,
ai to pgm,,,,,,,convert,push,,
ai to ppm,,,,,,,convert,push,,
ai to raf,,,,,,,convert,push,,
ai to rw2,,,,,,,convert,push,,
ai to tga,,,,,,,convert,push,,
ai to tif,,,,,,,convert,,,
ai to webp,,,10,,,,convert,,,
ai to xbm,,,,,,,convert,push,,
arw to arw,,,,,,,convert,push,,
arw to avif,,,,,,,convert,push,,
arw to bmp,0,,,,,,convert,,,
arw to cr2,,,20,,,,convert,,,
arw to cr3,,,,,,,convert,push,,
arw to cur,,,,,,,convert,push,,
arw to dds,,,,,,,convert,push,,
arw to eps,,,,,,,convert,push,,
arw to gif,,,,,,,convert,push,,
arw to heic,,,10,,,,convert,,,
arw to heif,,,,,,,convert,push,,
arw to icns,,,,,,,convert,push,,
arw to ico,,,,,,,convert,push,,
arw to jfif,,,,,,,convert,push,,
arw to jif,,,,,,,convert,push,,
arw to jxl,,,,,,,convert,push,,
arw to ktx,,,,,,,convert,push,,
arw to ktx2,,,,,,,convert,push,,
arw to map,,,,,,,convert,push,,
arw to nef,,,,,,,convert,,,
arw to orf,,,,,,,convert,push,,
arw to pam,,,,,,,convert,push,,
arw to pbm,,,,,,,convert,push,,
arw to pcx,,,,,,,convert,push,,
arw to pgm,,,,,,,convert,,,
arw to ppm,,,,,,,convert,push,,
arw to raf,,,,,,,convert,push,,
arw to rw2,,,,,,,convert,push,,
arw to svg,,,,,,,convert,,,
arw to tga,,,,,,,convert,push,,
arw to tif,,,,,,,convert,,,
arw to webp,,,30,,,,convert,,,
arw to xbm,,,,,,,convert,,,
avif to avif,,,,,,,convert,,,
avif to cr2,,,,,,,convert,,,
avif to cr3,,,,,,,convert,,,
avif to cur,,,,,,,convert,,,
avif to dds,,,30,,,,convert,,,
avif to dng,,,,,,,convert,,,
avif to icns,,,,,,,convert,,,
avif to jfif,,,,,,,convert,,,
avif to jif,,,,,,,convert,,,
avif to jxl,,,,,,,convert,,,
avif to ktx,,,,,,,convert,,,
avif to ktx2,,,,,,,convert,,,
avif to nef,,,,,,,convert,,,
avif to orf,,,,,,,convert,,,
avif to pam,,,,,,,convert,,,
avif to pbm,,,,,,,convert,,,
avif to pcx,,,,,,,convert,,,
avif to pgm,,,,,,,convert,,,
avif to ppm,,,,,,,convert,,,
avif to raf,,,,,,,convert,,,
avif to rw2,,,,,,,convert,,,
avif to tga,,,,,,,convert,,,
avif to tif,,,10,,,,convert,,,
avif to xbm,,,,,,,convert,,,
bmp to bmp,,,10,,,,convert,,,
bmp to cr2,,,,,,,convert,,,
bmp to cr3,,,,,,,convert,,,
bmp to cur,,,,,,,convert,,,
bmp to dng,,,,,,,convert,,,
bmp to heic,,,,,,,convert,,,
bmp to heif,,,,,,,convert,,,
bmp to icns,,,,,,,convert,,,
bmp to jfif,,,,,,,convert,,,
bmp to jif,,,,,,,convert,,,
bmp to jxl,,,,,,,convert,,,
bmp to ktx,,,,,,,convert,,,
bmp to ktx2,,,,,,,convert,,,
bmp to nef,,,,,,,convert,,,
bmp to orf,,,,,,,convert,,,
bmp to pam,,,,,,,convert,,,
bmp to pbm,,,,,,,convert,,,
bmp to pcx,,,30,,,,convert,,,
bmp to pgm,,,10,,,,convert,,,
bmp to ppm,,,20,,,,convert,,,
bmp to raf,,,,,,,convert,,,
bmp to rw2,,,,,,,convert,,,
cdda to flac,,,,,,,convert,,,
cdda to mp3,,,20,,,,convert,,,
cdda to wav,,,,,,,convert,,,
cdr to doc,,,60,,,,convert,,,
cr2 to cr2,,,,,,,convert,,,
cr2 to cr3,,,,,,,convert,,,
cr2 to cur,,,,,,,convert,,,
cr2 to dds,,,,,,,convert,,,
cr2 to eps,,,,,,,convert,,,
cr2 to gif,,,,,,,convert,,,
cr2 to heic,,,10,,,,convert,,,
cr2 to heif,,,,,,,convert,,,
cr2 to icns,,,,,,,convert,,,
cr2 to ico,,,,,,,convert,,,
cr2 to jfif,,,,,,,convert,,,
cr2 to jif,,,,,,,convert,,,
cr2 to jxl,,,,,,,convert,,,
cr2 to ktx,,,,,,,convert,,,
cr2 to ktx2,,,,,,,convert,,,
cr2 to nef,,,,,,,convert,,,
cr2 to orf,,,,,,,convert,,,
cr2 to pam,,,,,,,convert,,,
cr2 to pbm,,,,,,,convert,,,
cr2 to pcx,,,,,,,convert,,,
cr2 to pgm,,,,,,,convert,,,
cr2 to ppm,,,,,,,convert,,,
cr2 to raf,,,,,,,convert,,,
cr2 to rw2,,,,,,,convert,,,
cr2 to svg,,,,,,,convert,,,
cr2 to tga,,,,,,,convert,,,
cr2 to tif,,,,,,,convert,,,
cr2 to webp,,,30,,,,convert,,,
cr2 to xbm,,,,,,,convert,,,
cr3 to cr3,,,,,,,convert,,,
cr3 to cur,,,,,,,convert,,,
cr3 to dds,,,,,,,convert,,,
cr3 to eps,,,,,,,convert,,,
cr3 to gif,,,,,,,convert,,,
cr3 to heic,,,,,,,convert,,,
cr3 to heif,,,,,,,convert,,,
cr3 to icns,,,,,,,convert,,,
cr3 to ico,,,,,,,convert,,,
cr3 to jfif,,,,,,,convert,,,
cr3 to jif,,,,,,,convert,,,
cr3 to jxl,,,,,,,convert,,,
cr3 to ktx,,,,,,,convert,,,
cr3 to ktx2,,,,,,,convert,,,
cr3 to nef,,,,,,,convert,,,
cr3 to orf,,,,,,,convert,,,
cr3 to pam,,,,,,,convert,,,
cr3 to pbm,,,,,,,convert,,,
cr3 to pcx,,,,,,,convert,,,
cr3 to pgm,,,,,,,convert,,,
cr3 to ppm,,,,,,,convert,,,
cr3 to raf,,,,,,,convert,,,
cr3 to rw2,,,,,,,convert,,,
